Modelo,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Specificity,Tiempo_Inferencia,Memoria_MB,TOPSIS_Score,Rank
CAT,0.8005043429532082,0.8203899009268136,0.7486147564887722,0.7828606282403172,0.8853479288397121,0.8484766783499595,0.2319960594177246,0.03938102722167969,0.9188998181921796,1
XGB,0.7967217708041469,0.822570123939987,0.7354913969087198,0.7765973826020015,0.8801602291400463,0.8533297384739822,0.10700011253356934,0.15544414520263672,0.8949455501475511,2
SVM,0.7884561501821239,0.8039277795375356,0.7401574803149606,0.770725781961737,0.8795356498474897,0.8331086546238878,0.02699422836303711,0.0022487640380859375,0.8944169897248849,3
MLP,0.7771084337349398,0.8007198952879581,0.7136191309419656,0.7546646106399383,0.8633955805402999,0.8358047991372337,0.03399515151977539,0.06149101257324219,0.8264045562529704,4
STACKING,0.7984029139815074,0.805402087170043,0.7652376786235054,0.784806340660984,0.8793621970975206,0.829064437853869,4.220998525619507,51.99306869506836,0.6990776453268152,5
KNN,0.7737461473802185,0.7697798929208804,0.7547389909594634,0.7621852451774407,0.8507330187123752,0.7913184146670261,9.311929941177368,5.381404876708984,0.688528619990483,6
LGBM,0.7745867189688989,0.8421052631578947,0.6532516768737241,0.7357529972080802,0.8771579082856398,0.8867619304394716,0.22600054740905762,0.33406543731689453,0.669583492751988,7
RF,0.7128047072008966,0.8611838658983761,0.4794400699912511,0.6159610340951668,0.8639925615031923,0.9285521703963332,0.3960082530975342,46.00980472564697,0.2536700969167798,8
