Modelo,ROC AUC,F1-Score,Recall (Sensibilidad),Specificity,Accuracy
LGBM,0.9469814459072741,0.8979932114571547,0.8927302865261663,0.8566862013851891,0.8783121403708176
RF,0.9416258934664183,0.8888755550222008,0.8769831873076013,0.8556206712839638,0.8684378773886482
XGB,0.940993022077264,0.8916828994746473,0.8942694766753493,0.8327117741076185,0.8696455210627264
CAT,0.9391130582610482,0.889595852480264,0.8939142789486147,0.8263185935002664,0.8668750443986645
STACKING,0.9354812440335172,0.8860774186060009,0.9038598152971821,0.7955958089149352,0.8605526745755487
SVM,0.9288288929307097,0.8820495185694636,0.9110821690741179,0.7678920262830758,0.8538040775733466
MLP,0.928311119650603,0.8818487200278003,0.9013734312100402,0.7856508613034985,0.8550827591106059
KNN,0.911869689091706,0.8680426716141002,0.8863367274449444,0.7662937311312378,0.8383178233998722
