Modelo,Accuracy,ROC AUC
STACKING (Ensamble),0.8637493784186971,0.9383416233829232
RF (Individual),0.8676564608936563,0.9413143463926583
SVM (Individual),0.8538040775733466,0.9288288929307097
GB (Individual),0.8644597570505079,0.9384005706881323
KNN (Individual),0.8346948923776373,0.906706149060756
