Modelo,Accuracy,F1_Score,Tiempo_Inferencia,Memoria_MB,TOPSIS_Score,Ranking
svm,0.8538040775733466,0.8820495185694636,0.022001028060913086,0.0024318695068359375,0.9999990873458127,1
mlp,0.8550827591106059,0.8818487200278003,0.047998666763305664,0.06872749328613281,0.9952454590852817,2
xgb,0.8696455210627264,0.8916828994746473,0.04499387741088867,0.15012836456298828,0.9930974007186948,3
lgbm,0.8783121403708176,0.8979932114571547,0.2990000247955322,0.3323097229003906,0.9564412531433184,4
cat,0.8668750443986645,0.889595852480264,0.7615318298339844,0.03983879089355469,0.893449623057777,5
knn,0.8383178233998722,0.8680426716141002,3.884995460510254,2.9008750915527344,0.5383210119893538,6
rf,0.8684378773886482,0.8888755550222008,0.5100531578063965,16.601445198059082,0.4399142273182669,7
STACKING,0.8605526745755487,0.8860774186060009,2.945660352706909,20.10530662536621,0.13320844875896373,8
