Modelo,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Specificity,Tiempo_Inferencia,Memoria_MB,y_proba
RF,0.7163070888203978,0.8714285714285714,0.48031496062992124,0.6192893401015228,0.8681941123406127,0.9344836883256943,0.4689924716949463,56.511924743652344,[0.84 0.65 0.69 ... 0.15 0.03 0.01]
XGB,0.7940599607733259,0.83787512935495,0.7083697871099446,0.7676991150442478,0.885281095277847,0.873281207872742,0.17000412940979004,0.3371257781982422,[0.9053     0.8752933  0.7698086  ... 0.14842463 0.01009404 0.00607186]
LGBM,0.7793499579714206,0.8471910112359551,0.6596675415573053,0.7417609444171176,0.8814137122497505,0.8899973038554867,0.3620023727416992,0.33617591857910156,[0.88481144 0.87659769 0.814965   ... 0.15224909 0.01565632 0.01342815]
SVM,0.7897170075651443,0.7977146386658431,0.7532808398950132,0.7748612569371531,0.8809381324862926,0.8234025343758425,0.10700297355651855,0.004763603210449219,[0.71971097 0.70882516 0.7023678  ... 0.14759202 0.02188216 0.01361198]
KNN,0.7657607172877556,0.7697267424009825,0.731116943715369,0.7499252168710739,0.8419676005045069,0.7977891614990563,4.004001617431641,5.666505813598633,[0.86666667 0.86666667 0.66666667 ... 0.33333333 0.         0.        ]
CAT,0.794620341832446,0.8270576474508498,0.7238261883931175,0.7720062208398134,0.8871711090935238,0.8600700997573469,0.2610039710998535,0.11658191680908203,[0.85087336 0.81485254 0.71357564 ... 0.18898901 0.02674412 0.04497087]
MLP,0.7189688988512188,0.801610852055956,0.5514727325750948,0.6534208707671043,0.814665893913436,0.8738204367754112,0.04099464416503906,0.08556747436523438,"[9.14996390e-01 7.63220729e-01 7.94220251e-01 ... 1.59697578e-03
 4.59281727e-06 1.65696872e-08]"
